スタイル=NEC M式配列
スタイルファイル=HKEY_LOCAL_MACHINE\Software\Justsystem\ATOK\33.0\Style\MRoma

ローマ字設定=
，           、 
ｒｙｑ       りぇ 
ｒｙｕ       りゅ 
ｒｙｖ       りゅい 
ｒｙｘ       りゅう 
ｓａ         さ 
ｓｃ         そ 
ｓｅ         せ 
ｓｆ         さ 
ｓｈａ       しゃ 
ｓｈｃ       しょ 
ｓｈｅ       しぇ 
ｓｈｆ       しゃ 
ｓｈｉ       し 
ｓｈｊ       し 
ｓｈｌ       しゅ 
ｓｈｏ       しょ 
ｓｈｑ       しぇ 
ｓｈｕ       しゅ 
ｓｉ         し 
ｓｊ         し 
ｓｌ         す 
ｓｏ         そ 
ｓｑ         せ 
ｓｕ         す 
ｓｖ         すい 
ｓｘ         すう 
ｓｙａ       しゃ 
ｓｙｃ       しょ 
ｓｙｅ       しぇ 
ｓｙｆ       しゃ 
ｓｙｉ       しぃ 
ｓｙｊ       しぃ 
ｓｙｌ       しゅ 
ｓｙｏ       しょ 
ｓｙｑ       しぇ 
ｓｙｕ       しゅ 
ｓｙｖ       しゅい 
ｓｙｘ       しゅう 
ｔａ         た 
ｔｃ         と 
ｔｅ         て 
ｔｆ         た 
ｔｈａ       てゃ 
ｔｈｃ       てょ 
ｔｈｅ       てぇ 
ｔｈｆ       てゃ 
ｔｈｉ       てぃ 
ｔｈｊ       てぃ 
ｔｈｌ       てゅ 
ｔｈｏ       てょ 
ｔｈｑ       てぇ 
ｔｈｕ       てゅ 
ｔｈｖ       てゅい 
ｔｈｘ       てゅう 
ｔｉ         ち 
ｔｊ         ち 
ｔｌ         つ 
ｔｏ         と 
ｔｑ         て 
ｔｓａ       つぁ 
ｔｓｃ       つぉ 
ｔｓｅ       つぇ 
ｔｓｆ       つぁ 
ｔｓｉ       つぃ 
ｔｓｊ       つぃ 
ｔｓｌ       つ 
ｔｓｏ       つぉ 
ｔｓｑ       つぇ 
ｔｓｕ       つ 
ｔｓｖ       つい 
ｔｓｘ       つう 
ｔｕ         つ 
ｔｖ         つい 
ｔｗｌ       とぅ 
ｔｗｕ       とぅ 
ｔｗｖ       とぅい 
ｔｗｘ       とぅう 
ｔｘ         つう 
ｔｙａ       ちゃ 
ｔｙｃ       ちょ 
ｔｙｅ       ちぇ 
ｔｙｆ       ちゃ 
ｔｙｉ       ちぃ 
ｔｙｊ       ちぃ 
ｔｙｌ       ちゅ 
ｔｙｏ       ちょ 
ｔｙｑ       ちぇ 
ｔｙｕ       ちゅ 
ｔｙｖ       ちゅい 
ｔｙｘ       ちゅう 
ｕ           う 
ｖ           うい 
ｗａ         わ 
ｗｃ         を 
ｗｅ         ゑ 
ｗｆ         わ 
ｗｉ         ゐ 
ｗｏ         を 
ｗｕ         う゛ 
ｗｖ         う゛い 
ｗｘ         う゛う 
ｘ           うう 
ｙａ         や 
ｙｃ         よ 
ｙｅ         いぇ 
ｙｆ         や 
ｙｉ         い 
ｙｊ         い 
ｙｌ         ゆ 
ｙｏ         よ 
ｙｑ         いぇ 
ｙｕ         ゆ 
ｙｖ         ゆい 
ｙｘ         ゆう 
ｚａ         ざ 
ｚｃ         ぞ 
ｚｅ         ぜ 
ｚｆ         ざ 
ｚｉ         じ 
ｚｊ         じ 
ｚｌ         ず 
ｚｏ         ぞ 
ｚｑ         ぜ 
ｚｕ         ず 
ｚｖ         ずい 
ｚｘ         ずう 
ｚｙａ       じゃ 
ｚｙｃ       じょ 
ｚｙｅ       じぇ 
ｚｙｆ       じゃ 
ｚｙｉ       じぃ 
ｚｙｊ       じぃ 
ｚｙｌ       じゅ 
ｚｙｏ       じょ 
ｚｙｑ       じぇ 
ｚｙｕ       じゅ 
ｚｙｖ       じゅい 
ｚｙｘ       じゅう 
